User,Tweet,Unnamed: 0,Date
NewsX,"#USHateCrimes | There has been a wave of attacks against Indians in America. A Punjab-origin family of 4, including an 8-month-old infant, was kidnapped 5 days ago; they were found dead. 
NewsX's @msharma179 reports
 
.
.
Tune into #NewsX for more reports
https://t.co/UGBjnbwZ7b https://t.co/U77zkZhO8c",,
NewsX,"#IndianFamilyKilled | 'Incident is extremely shocking.': BJP Leader Manjinder Singh Sirsa (@mssirsa) speaks to #NewsX on the murder of a kidnapped Indian family in California.

Watch #NewsX for more such reports. https://t.co/YGcjHzLLDA",,
NewsX,"#AbductorYasinMalik | Mehbooba Mufti's sister Rubaiya Sayeed has identified four people including Kashmiri separatist leader Yasin Malik in the 1989 kidnapping case. 
@malhotravineet7 
.
.
.
Watch the engaging discussion on #NewsX
Tune in, today @ 9 PM https://t.co/vTopQOkOCP",,
NewsX,"1989 kidnapping case: Mehbooba Mufti’s sister Rubaiya Sayeed appears before CBI court

#Mehbooba Mufti #1989KidnappingCase #RubaiyaSayeed

Follow https://t.co/gmRZOBCgNC and stay updated.

https://t.co/EN2mx5Fbf5",,
NewsX,"Afghan-Pak tensions looms: Afghanistan envoys’s daughter kidnapped in Islamabad
https://t.co/XgyhtymE05",,
NewsX,"#AfghanPakWar | Tensions have escalated between Pakistan and Afghanistan after Afghan envoy’s daughter was kidnapped in Islamabad by unknown assailants.
.
.
.
Watch the full debate on NewsX YouTube.
https://t.co/bCCZaFOfT1
@Rishabh_Gulati_ @Dhruv_CK @MD_Nalapat @abunouman https://t.co/MZ9DTaeOHM",,
NewsX,#BreakingNews | Former TDP minister Akhil Priya was arrested by the police in connection with the Boinpally kidnapping case. https://t.co/TcCox7MBR4,,
NewsX,"#ProtectIndianScientists | A DRDO scientist got kidnapped and was later saved in Sector 41 Noida. Is the kidnapping a Foreign Plot?
.
.
.
Watch the full debate on NewsX YouTube.
https://t.co/71ERulWf69
@Rishabh_Gulati_ @MD_Nalapat @K_Siddhartha_ https://t.co/T23YNoxgy1",,
NewsX,#ChinaArunachalHostages | ‘Kidnapping of civilians is their new policy. Kidnapping is always for extortion. Now what are they trying to extort from us?’ : Sumit Peer (@sumitp191) - Political Analyst on #NewsX @Rishabh_Gulati_ https://t.co/hPxrAcck5d,,
NewsX,"Shahjahanpur law student case: Uttar Pradesh Police say she was not kidnapped

https://t.co/zehecG1lsh",,
NewsX,"Who is Swami Chinmayanand, accused in kidnapping and rape case
https://t.co/6MRcgzK433",,
