User,Tweet
TimesNow,"At least 6 people were killed as Nepal was hit by a 6.3-magnitude #earthquake. 
Dozens of houses have been damaged, stated reports. Strong tremors were also felt in Delhi and neighboring areas around 2 am.

@kmayank9 shares more details with @anchoramitaw https://t.co/YK9Nbx4fHz"
TimesNow,"#IndiaFailsAnamica

Anamica who was 'gang-raped' in 2012 &amp; later 'killed' has now been 'denied justice'.

Three defendants who had received death sentences by the Delhi High Court were exonerated by the Supreme Court.

Listen to these reactions. https://t.co/bAEcrT46LG"
TimesNow,"#IndiaFailsAnamica

Anamica who was 'gang-raped' in 2012 &amp; later 'killed' has now been 'denied justice'.

Three defendants who had received death sentences by the Delhi High Court were exonerated by the Supreme Court. https://t.co/dkNoAkhDTZ"
TimesNow,"Four killed after dumper truck full of sand overturns on auto-rickshaw in #Raigarh

https://t.co/Gfj0eHdm55"
TimesNow,"Caught On Cam: One Killed After Car Rams Into Liquor Shop.

#TNShorts https://t.co/df04x2xIsj"
TimesNow,"The central government has reserved seats for ‘victims of terrorism’ in MBBS, and BDS courses in J&amp;K.

Priority would be given in the admission process to the children whose parents have been killed by terrorists. 

@deepduttajourno shares more details with @kritsween https://t.co/oJmX8zbzFo"
TimesNow,"Maharashtra: 35-year-old killed in Chandrapur; attackers 'play football' with severed head

https://t.co/vwzv6YT2C8"
TimesNow,"The central government has reserved seats for ‘victims of terrorism’ in MBBS, and BDS courses in J&amp;K.

Priority would be given in the admission process to the children whose parents have been killed by terrorists. 

@deepduttajourno shares more details with @kritsween https://t.co/4MAo8rTWvy"
TimesNow,"At least 3 killed, 25 injured as tractor-trolley overturns in MP's Datia district.

https://t.co/4vpjJrMXhQ"
TimesNow,"TIMES NOW confronts Punjab CM #BhagwantMann over the law &amp; order situation after the killing of Hindu leader Sudhir Suri in Amritsar, who evades the questions.

Outrage over Mr. Suri's death increases, people ask who'll be safe if even the ones with police protection are killed. https://t.co/S063VEJBNu"
TimesNow,"#MorbiRenovationFraud

The Morbi Scam Saga Unravels

Oreva Cheated, State Ignored

Renovation 'Corruption' Out

'12L Of 2 CRS Spent on Bridge'

Swindled Money, Killed People

But Oreva Owner Roams Free

@TheNewshour SPECIAL EDITION | @RoyPranesh https://t.co/qYMJ3JNbvC"
TimesNow,"Terrorists Killed in J&amp;K. How India Foiled Pakistan’s Infiltration Bid Along LoC | @deepduttajourno

#TNDIGITALVIDEOS #JammuAndKashmir #Pakistan https://t.co/iFuAJVep6h"
TimesNow,"#PunjabHateKilling

'Sikhs For Justice' releases a video claiming that Sudhir Suri has been killed by the banned Khalistani outfit. 

Let the truth come out: @VivekSrivastav_

Our concern is that it doesn't convert into a Hindus vs Sikhs issue: @rpsinghkhalsa

@thenewshour AGENDA https://t.co/UA4vgG1UrW"
TimesNow,"#PunjabHateKilling

Sidhu Moosewala was killed, office of intelligence was attacked with grenades but AAP is turning a blind eye: @rpsinghkhalsa

It is irresponsible politics of BJP. They only want to garner votes for Gujarat polls: Aqeel Khan

@TheNewshour AGENDA | @PadmajaJoshi https://t.co/wzWPyShbqG"
TimesNow,"#PunjabHateKilling 

Hindu Neta Killed In Cold Blood, Police Just Stood &amp; Watched 

‘Waris Punjab De’ Link Under Lens

‘K’ Group Vowed To Avenge Sacrilege

Amritsar After Patiala And Mohali  

Who’s Enabling ‘Sectarian’ Terror?

Watch #IndiaUpfront with @RShivshankar https://t.co/HlSWv5IRT9"
TimesNow,"#PunjabHateKilling 

Hindu Neta Killed In Cold Blood, Police Just Stood &amp; Watched 

‘Waris Punjab De’ Link Under Lens

‘K’ Group Vowed To Avenge Sacrilege

Amritsar After Patiala And Mohali  

Who’s Enabling ‘Sectarian’ Terror?

Watch #IndiaUpfront with @RShivshankar tonight @ 8 https://t.co/bzFnVckeq5"
TimesNow,"#PunjabHateKilling 

Hindu Neta Killed In Cold Blood, Police Just Stood &amp; Watched 

‘Waris Punjab De’ Link Under Lens

‘K’ Group Vowed To Avenge Sacrilege

Amritsar After Patiala And Mohali  

Who’s Enabling ‘Sectarian’ Terror?

Watch #IndiaUpfront with @RShivshankar tonight @ 8 https://t.co/CYLU3dp0Jy"
