User,Tweet
TimesNow,"#IndiaFailsAnamica

Anamica who was 'gang-raped' in 2012 &amp; later 'killed' has now been 'denied justice'.

Three defendants who had received death sentences by the Delhi High Court were exonerated by the Supreme Court.

Listen to these reactions. https://t.co/bAEcrT46LG"
TimesNow,"#IndiaFailsAnamica

Anamica who was 'gang-raped' in 2012 &amp; later 'killed' has now been 'denied justice'.

Three defendants who had received death sentences by the Delhi High Court were exonerated by the Supreme Court. https://t.co/dkNoAkhDTZ"
TimesNow,"#Bihar shocker: Minor raped on pretext of marriage, paraded across village

https://t.co/2cN3JL46JH"
TimesNow,"#Hyderabad: Beggarwoman gang-raped by two men at isolated place in #Chatrinaka

https://t.co/63oor7RBjm"
TimesNow,"Bhopal: Woman raped by acquaintance whom she tied 'rakhi' last year

#Bhopal #Crime 

https://t.co/MgzFYvVO6T"
TimesNow,"#Bhopal: Woman raped by acquaintance whom she tied 'rakhi' last year 

https://t.co/MgzFYvEcIj"
TimesNow,"Man who ‘molested’ woman lynched to death by her family members in #Faridabad; one held.
https://t.co/kCDAy9OqKy"
TimesNow,"#MadhyaPradesh: 23-year-old woman gang-raped by six persons at under-construction building in #Tikamgarh 

https://t.co/SHP7VPHSK9"
CNNnews18,"#BreakingNews | Rajasthan girls auctioned on stamp papers, else mothers raped; NHRC notice to Rajasthan Government 

Rajasthan has become a dangerous for women: Shehzad Poonawala, BJP Spokesperson (@Shehzad_Ind)

News18’s Bhawani Deora with details | @shilparathnam https://t.co/obl0dlMbyQ"
TimesNow,"#Tripura: Minor tribal girl returning from cultural programme gang-raped in #Khowai
https://t.co/XL5MvKLocG"
TimesNow,"15-year-old girl gang-raped by two men at lodge in south #Mumbai 
https://t.co/QYjpCo6fAH"
TimesNow,"Chhattisgarh shocker: Nurse working alone during Diwali break gang-raped by four in health centre

https://t.co/0gcFD6p0hu"
TimesNow,"Jharkhand: A female software engineer belonging to the tribal community allegedly gang-raped in Chaibasa. FIR was registered against 10 people.

BJP alleges that Jharkhand has become the rape state of India.

No arrest was made in connection with the incident. https://t.co/20saad1y9i"
republic,"26-year-old techie gang-raped in Jharkhand's Chaibasa, 12 detained https://t.co/HjQ4Ivkkfz"
CNNnews18,"#BreakingNews | #Jharkhand: 10 men attacked a girl last night; snatched phone and money, and gang-raped her

The girl has been admitted to a hospital, and given her statement; Case is currently being filed against the men

@JournoKSSR on the state's law &amp; order | @akankshaswarups https://t.co/ue1RalYtNW"
TimesNow,"#Jharkhand Shocker: Tribal woman working as a software engineer gang-raped by ten in #Chaibasa- ""Will bring all ten to justice"" says #JMM.

#BJP Slams #Soren Sarkar, holds 'hota-hai' mindset of the state regime responsible for recurring incidences of brutal crimes against women. https://t.co/uWNLP7Brx2"
TimesNow,"#Jharkhand Shocker: Tribal woman working as a software engineer gang-raped by ten in #Chaibasa- victim said to be in a fragile state.

 #SIT team and cops reach the crime-scene- Sohan Singh on-ground shares exclusive updates- only on TIMES NOW!

Siddhartha Talya with more. https://t.co/CQZFuSL9cC"
CNNnews18,"'Beti Bachao' just slogan?

4-year-old child raped by school principal's driver in #Hyderabad

@TrishaBShetty (Activist &amp; Founder Shesays): We have gone wrong by the virtue of people we are electing to power and trusting with security and safety

Watch #PlainSpeak With @ridhimb https://t.co/U7XieL6rRb"
CNNnews18,"#Hyderabad: 4-year-old child raped by school principal's driver

Bachu Srinivas (TRS Leader) and @vikramsingh112 (Former DGP, UP) with views

Watch #PlainSpeak With @ridhimb https://t.co/w2vRbAXPw0"
TimesNow,"#Hyderabad horror! Four-year-old kindergarten student raped by school principal's driver

https://t.co/GYj23RsreQ"
CNNnews18,"#Hyderabad: 4-year-old child raped by school principal's driver

@seematyagii,( President, Ghaziabad parents asciciation) and @Amberological (Social Activist) with views

Listen to what the callers have to say

@AnushaSoni23 https://t.co/hu1WTnSKkc"
CNNnews18,"Delhi Horror: Woman allegedly kidnapped in Ghaziabad, gang-raped and brutally tortured

@_anshuls brings #groundreport  

Join the broadcast with @GrihaAtul https://t.co/86KBMQ6Cyp"
TimesNow,"'#BilkisBano case convict molested woman on parole': #MahuaMoitra asks PM, Shah to define ‘good behaviour'
https://t.co/LDOdwCqLgd"
CNNnews18,"#Hyderabad:  4-year-old girl student raped by school principal's driver for over 2 months in #Banjara Hills; arrested.

BJP's K.Krishna Sagar Rao (@BJPKrishnasagar) elaborates on the heinous crime!

Morning News #BanjaraHills #POSCO| @GrihaAtul https://t.co/gHMzsOA0kw"
CNNnews18,"#Hyderabad: 4-Year-old KG Student Raped by Principal's Driver in Upscale #BanjaraHills, School Shut Amid Protest By Parents.

Listen in to what the victim's mother has to say.

Morning News | @GrihaAtul https://t.co/RyEqixNTLV"
republic,Delhi woman abducted and gang-raped by 5 men in Ghaziabad; DCW chief takes cognizance of matter https://t.co/g757GoL3qx
CNNnews18,"4-year-old raped by driver of a private school in Hyderabad, family demands justice. News18's @swastikadas95 with details 

@toyasingh | #Hyderabad #CrimeNews #HyderabadRapeCase https://t.co/UkfAKn0tXQ"
CNNnews18,"#BreakingNews | #Hyderabad: LKG student allegedly raped by the driver of a private school, accused nabbed by the police

@swastikadas95 with the details

Watch #NewsEpicentre with @maryashakil https://t.co/paw0rgEwDY"
TimesNow,"#Ghaziabad: Toddler kidnapped, raped and left to die near railway tracks
https://t.co/9ec2o4UYVr"
TimesNow,"Ghaziabad: Toddler kidnapped, raped and left to die near railway tracks

#Ghaziabad #Crime 

https://t.co/9ec2o4UYVr"
TimesNow,"Woman drugged, gang-raped in ashram in #Lucknow

READ MORE: https://t.co/bfjy34IkSy

#Crime https://t.co/4oWW9pbzXn"
republic,Thane Police arrests autorickshaw driver who molested &amp; dragged college student https://t.co/NwdPzKfZCM
republic,"21-year-old woman molested, dragged by auto driver in Maharashtra's Thane; FIR registered https://t.co/IYieuEEYBX"
TimesNow,"#Haryana horror: 7-year-old girl raped, killed in Kaithal; half-burnt body found in bushes

#Crime 

https://t.co/PeFS2FJzqq"
republic,Pregnant teenager set ablaze in Uttar Pradesh's Mainpuri; was allegedly raped 3 months ago https://t.co/aig93XxXAF
TimesNow,"Dalit girl raped in Amethi 

#Dalits 

https://t.co/904n4MDpCE"
republic,#BREAKING | 15-year-old allegedly molested by Madrassa teacher in Indore; case registered against accused under POCSO Act. Tune in - https://t.co/bQDovpW2UH https://t.co/6Li6kqrhF3
TimesNow,"#Jharkhand : Woman raped by two policemen in Lohardaga; serious

#Crime 

https://t.co/QoanS8hNG7"
CNNnews18,"#BREAKING | Targeted Killings in Pakistan: Hindu minor girl raped and attacked in Pakistan's Sindh  

(Exclusive Input: @manojkumargupta)

@abhishekjha157 shares more details | @vinivdvc https://t.co/wDs0NlHVaD"
TimesNow,"#Jharkhand : 50-year-old woman raped by two policemen

READ MORE: https://t.co/OchXCYXlkQ

#Crime https://t.co/jCqiWOi9gS"
TimesNow,"#PakTerrorTruth

Real Kashmiris speak up at U.N: citizens, not ‘conflict vultures’

How Pak &amp; proxies ‘crushed’ Kashmiris

Women worst victims; raped, silenced

Why did ‘rights activists’ hide this reality?

Watch @thenewshour AGENDA with @PadmajaJoshi https://t.co/q12qCWW5mH"
TimesNow,"#PakTerrorTruth

Real Kashmiris speak up at U.N: citizens, not ‘conflict vultures’

How Pak &amp; proxies ‘crushed’ Kashmiris

Women worst victims; raped, silenced

Why did ‘rights activists’ hide this reality?

Watch ＠TheNewshour AGENDA with @PadmajaJoshi @ 10:30 PM https://t.co/5uUZtADMoc"
TimesNow,"#PakTerrorTruth

Real Kashmiris speak up at U.N: citizens, not ‘conflict vultures’

How Pak &amp; proxies ‘crushed’ Kashmiris

Women worst victims; raped, silenced

Why did ‘rights activists’ hide this reality?

Watch ＠TheNewshour AGENDA with @PadmajaJoshi @ 10:30 PM https://t.co/0Rc9RYmZNL"
TimesNow,"#PakTerrorTruth

Real Kashmiris speak up at U.N: citizens, not ‘conflict vultures’

How Pak &amp; proxies ‘crushed’ Kashmiris

Women worst victims; raped, silenced

Why did ‘rights activists’ hide this reality?

Watch ＠TheNewshour AGENDA with @PadmajaJoshi @ 10:30 PM https://t.co/X4Vi1oYuUJ"
TimesNow,"#PakTerrorTruth

Real Kashmiris speak up at U.N: citizens, not ‘conflict vultures’

How Pak &amp; proxies ‘crushed’ Kashmiris

Women worst victims; raped, silenced

Why did ‘rights activists’ hide this reality?

Watch ＠TheNewshour AGENDA with @PadmajaJoshi @ 10:30 PM https://t.co/WrRUKp2ieM"
CNNnews18,"Minor raped, extorted in Alwar: 'Satta' over state for Gehlot? Watch Explosive #WeekendDebate with @poonam_burde tonight at 8:58PM only on CNN-News18 https://t.co/JWoU54m8GV"
CNNnews18,"Minor raped, extorted in Alwar: 'Satta' over state for Gehlot? Watch Explosive #WeekendDebate with @poonam_burde tonight at 8:58PM only on CNN-News18 https://t.co/z5O2Q3is4F"
CNNnews18,"Rajasthan Horror Case: Minor raped by 5 men in Alwar; BJP attacks #Gehlot government 

@dave_janak shares more details 

Join the broadcast with @aayeshavarma https://t.co/onxuYoFxzE"
TimesNow,"A 17-year-old girl was allegedly gang-raped by 8 men in Rajasthan’s Alwar district. The police have registered an FIR based on the complaint by the victim’s father

BJP hit out at  Congress govt over the alleged gang rape, saying Congress leaders remain busy in their ""power game"" https://t.co/Fc1VWazeB1"
CNNnews18,"#RajasthanNews : #Bhiwadi Minor #Raped Twice by 8 Men, Filmed, Blackmailed to Pay Rs 2.5 Lakh.

Listen to the victim and her brother's rage over it.

News18's Bhawani Singh brings in more details.

Morning News | @aayeshavarma https://t.co/IboK1tv1V3"
CNNnews18,"Shocker from Rajasthan: 17-year-old girl gang-raped by 8 men in Rajasthan's Bhiwadi, later blackmailed by the accused. Political war erupts over law and order in the state;

News18's Bhawani Deora gets you the details 

@Zakka_Jacob | #Rajasthan #CrimeNews #RajasthanCrime https://t.co/epDVZNoUd5"
TimesNow,"#Rajasthan: 8 men allegedly gang-raped a minor girl- filmed the entire assault &amp; later 'blackmailed' the victim.

""Mr. Gehlot is busy in Satta Bachao, instead of Beti Bachao"", @Shehzad_Ind hits out at Congress

Congress' Udit Raj joins the discussion.

@bhanwarpushpen2 with more. https://t.co/wfJfF6oyQU"
TimesNow,"Rajasthan: Minor girl allegedly gang-raped by eight men in December 2021.

The victim was forced to pay Rs 50 thousand for the videos of the 'sexual assault' as the accused 'blackmailed' to release the clips; no arrests so far.

@bhanwarpushpen2 shares details.

#Rajasthan #Crime https://t.co/JX1Fv32nZ4"
TimesNow,"Indore: A pregnant woman was allegedly drugged and then gang-raped; four accused are now in police custody.

The accused had met the victim on the pretext of offering her a job.

@Gurjarrrrr joins @anchoramitaw with more details.

#Crime #Indore https://t.co/A7pzsayQOu"
TimesNow,"#Kerala: Minor girl from UP raped by four men in #Kozhikode, arrested.
https://t.co/VYRKMHZpV1"
TimesNow,"Delhi: #Airhostess raped by acquaintance, arrested.
https://t.co/gJtIpEX4R6"
TimesNow,"12-year-old boy raped, rod inserted in private parts; how to protect children from sexual abuse, teach them to say a firm NO

https://t.co/OQLJWfEb18"
TimesNow,"#Telangana : Mother of two children, estranged from Husband, gang-raped by group of unidentified men

#crime 

https://t.co/jNMJUh52Qs"
TimesNow,"#Haryana: Woman from Nuh kidnapped, gang-raped after being held captive in #Rajasthan for 36 days.
https://t.co/x28ZEIIrHP"
TimesNow,"Ghaziabad: Woman raped by self-proclaimed godman on pretext of exorcism, accused arrested

#Ghaziabad #Modinagar

https://t.co/BmUaJJAYPi"
TimesNow,"#Assam: Minor girl raped by six for two-days.
https://t.co/qM23yYqqhs"
TimesNow,"#Lucknow : Eight-year-old girl raped by man living as tenant at her house

#crime 

https://t.co/IZXkNSPXS9"
TimesNow,"""Last week a #UP sports official molested an athlete, what kind of environment is being promoted for our sports-people in the state?:""  Manoj Singh Thapa on the viral video from #Saharanpur of food being served in stadium toilets.

@karishmasingh22 &amp; @anchoramitaw shares details. https://t.co/riuYoF1I5p"
CNNnews18,"#BreakingNews | 16-year-old raped and thrashed by 6 men in #MadhyaPradesh, houses of 3 accused bulldozed 

@ManojSharmaBpl shares more details 

Join the broadcast with @toyasingh https://t.co/XoP54kTFP2"
TimesNow,"#LakhimpurKheri Horror: SC/ST Commission to send team to the village where two minor Dalit girls where abducted, raped, murdered and hung from a tree- #Yogi grills police officials, ""Be more sensitive towards woman's safety.""

@Amir_Haque &amp; @Anchoramitaw Shares details. https://t.co/emduTpW3wk"
TimesNow,"#UttarPradesh: Woman raped as a minor, approaches cops after 28 years in Aligarh

https://t.co/Fnrm6O4obx"
TimesNow,"#UttarPradesh : Woman raped by multiple kins for years, reports abuse after 28 years; probe on

#Crime 

https://t.co/SSDjBsAKT8"
TimesNow,"#Bhopal : Class 8 girl on way to pick sister from school dragged in auto, molested in broad daylight

#Crime 

https://t.co/NmUBPrhZax"
TimesNow,"#LakhimpurKheri Horror: #UP Police arrests all six accused who allegedly abducted, raped and hung two minor #Dalit girls from a tree- Exclusive coverage only on TIMES NOW!

@Amir_Haque, @prathibhatweets and @anchoramitaw with more on the arrests. https://t.co/GrONDeF0AU"
TimesNow,"#LakhimpurHorror

Dalit sisters raped, murdered: All accused arrested, 5 Muslim

Rushed to 'hug' Hathras victim, slammed upper caste oppression

Oppn 'mum' when accused Muslim

Watch @thenewshour AGENDA with @PadmajaJoshi https://t.co/jE5d2YLUM6"
TimesNow,"#LakhimpurHorror

Dalit sisters raped, murdered: All accused arrested, 5 Muslim

Rushed to 'hug' Hathras victim, slammed upper caste oppression

Oppn 'mum' when accused Muslim

Watch @thenewshour AGENDA with @PadmajaJoshi at 10 PM. https://t.co/YmQ5fYjUEr"
TimesNow,"#LakhimpurHorror

Dalit sisters raped, murdered: All accused arrested, 5 Muslim

Rushed to 'hug' Hathras victim, slammed upper caste oppression

Oppn 'mum' when accused Muslim

Watch @thenewshour AGENDA with @PadmajaJoshi at 10 PM. https://t.co/xaXSYu00Jk"
TimesNow,"#LakhimpurHorror

Dalit sisters raped, murdered: All accused arrested, 5 Muslim

Rushed to 'hug' Hathras victim, slammed upper caste oppression

Oppn 'mum' when accused Muslim

Watch @thenewshour AGENDA with @PadmajaJoshi at 10 PM. https://t.co/J2yzhknPBv"
TimesNow,"#LakhimpurHorror

Dalit sisters raped, murdered: All accused arrested, 5 Muslim

Rushed to 'hug' Hathras victim, slammed upper caste oppression

Oppn 'mum' when accused Muslim

Watch @thenewshour AGENDA with @PadmajaJoshi at 10 PM. https://t.co/IX1G9mOaOG"
republic,Bloodcurdling crime in Lakhimpur: Minors raped and hanged. Where's the outrage over the #LakhimpurHorror? Demand justice - join The Debate with Arnab here - https://t.co/KIOCfhJZNo https://t.co/wrSPQUobUD
republic,Bloodcurdling crime in Lakhimpur: Minors raped and hanged. Where's the outrage over the #LakhimpurHorror? Demand justice - join The Debate with Arnab here - https://t.co/up0T146BtX https://t.co/vetokw8UNj
TimesNow,"#LakhimpurHorror

The post-mortem report of the two Dalit sisters revealed that they were raped before being murdered by strangulation. Six people have been arrested by police https://t.co/1htqffk9Mq"
republic,"In Lakhimpur Kheri case, postmortem report confirms girls raped, strangulated to death https://t.co/KIXTWtmrjc"
CNNnews18,"#BreakingNews | Minor girl allegedly kidnapped, drugged, and raped in Old City, #Hyderabad; both accused arrested by the police

News18's Azeem brings us the details | @AnushaSoni23 | #POCSO https://t.co/jW6VZ08xZv"
TimesNow,"#LakhimpurHorror

TIMES NOW accesses the autopsy report of two minor girls that confirms the victims were 'raped and killed'.

Manish shares more details. https://t.co/O4o8StwEZP"
TimesNow,"#LakhimpurHorror

Lakhimpur Kheri: Two Dalit sisters were raped before being murdered, reveals post-mortem report; six accused arrested

READ MORE : https://t.co/RfPJx0LV64 https://t.co/bfBhDlZuqm"
republic,"#BREAKING | Lakhimpur Kheri Horror: Post-mortem concluded; as per sources, preliminary report reveal two minor sisters were 'raped and murdered'

Tune in - https://t.co/iC94zGlm6y https://t.co/nOwJ577ckt"
CNNnews18,"#BREAKING | Dalit sisters were raped and murdered: Rahul Gandhi on Lakhimpur Horror Case

＠_pallavighosh shares more details 
  
#Lucknow #UttarPradesh | @akankshaswarups https://t.co/PKI4XPA4DA"
republic,#RepublicExclusive | Accused befriended the minors and raped them; 4 named in the FIR: Lakhimpur SP Sanjeev Suman - https://t.co/iC94zGlm6y https://t.co/wGwXcLjo25
republic,#RepublicExclusive | We apprehended all the accused; they raped the minor girls in the field and later strangulated them. Details will be more clear after we get post-mortem report: Lakhimpur SP Sanjeev Suman speaks to Republic - https://t.co/iC94zGlm6y https://t.co/K03McpSNDz
republic,#RepublicExclusive | Accused befriended the minors and raped them; 4 named in the FIR: Lakhimpur SP Sanjeev Suman - https://t.co/iC94zGlm6y https://t.co/YmCwVq2xgV
republic,"#BREAKING | 2 minor girls found hanging from a tree in UP's Lakhimpur Kheri; mother alleges, 'daughters raped and murdered' 

Tune in - https://t.co/fyBXoa0vac https://t.co/DrgVDHwKIx"
