Date,User,Tweet
2022-11-07 11:17:49+00:00,republic,Delhi Police arrest 3 of gang which robbed people with sleeping pills https://t.co/5Rew54b8fE
2022-11-06 20:00:00+00:00,TimesNow,"Broke CCTVs, drugged food: How 4 domestic helps robbed #Rajasthan businessman of crores

https://t.co/SHasHkKxYM"
2022-11-06 13:10:00+00:00,TimesNow,"UP: IPS officer fakes robbery complaint in #Auraiya, puts cops to test - Watch #ViralVideo 

https://t.co/l52jNIw3AX"
2022-11-05 22:00:00+00:00,CNNnews18,"Punjab reportedly has around 70 gangs that are involved in kidnapping, murders, and robbery among other crimes https://t.co/QXdXajr1w8"
2022-11-04 09:33:12+00:00,IndiaToday,"IPS officer disguises herself, fakes robbery complaint to check response of cops in Uttar Pradesh | Video

#trending 
https://t.co/IvGS8zqWWJ"
2022-11-01 18:10:00+00:00,TimesNow,"Uttar Pradesh: Minor boy beaten up, made to do sit-ups, tonsured on suspicion of robbery

https://t.co/4FPtLRRVp5"
2022-10-30 17:17:19+00:00,CNNnews18,"In a carjacking incident in #Delhi’s Cantonment area, a 35-year-old man was held at gunpoint and was robbed off his #SUV Toyota Fortuner car by three persons on Saturday morning.

https://t.co/FJTtqyenE2 https://t.co/uF0vuU8UXq"
2022-10-26 11:50:00+00:00,TimesNow,"76-year-old rescues neighbour from getting robbed, runs behind thieves with walking stick

#viral 

https://t.co/BWDzhoC0qK"
2022-10-26 03:54:18+00:00,IndiaToday,"76-yr-old woman saves neighbour from getting robbed with her walking stick. Internet salutes her
#Trending 
https://t.co/qz8yN5u4NC"
2022-10-25 09:55:00+00:00,TimesNow,"#Maharashtra minister #DadaBhuse helps police to crack robbery case

https://t.co/82eR94CnHw"
2022-10-18 09:01:00+00:00,TimesNow,"Kolkata: Suspended constable arrested for plotting Rs 1.1 crore robbery to finance his legal battles

#crime #Kolkata

https://t.co/BJUtnXVVwr"
2022-10-18 05:51:00+00:00,TimesNow,"Here’s How Woman Employee Bravely Stopped Bank Robbery- WATCH

#TNShorts #ViralVideo https://t.co/ddb5ozmxes"
2022-10-16 16:28:53+00:00,IndiaToday,"When asked about the robbery onboard a train which only has technical stops, the CPRO of the Eastern Railways said that they had no news about the incident

https://t.co/1A1qpXNPxv"
2022-10-13 06:32:35+00:00,TimesNow,"When #SalmanKhan was robbed by four women and lost his Bajrangi Bhaijaan pendant among other things

Read More: https://t.co/gDMsWBSJUQ https://t.co/gtQzQ6zczi"
2022-10-13 03:05:00+00:00,TimesNow,"Surat: Textile merchant robbed of Rs 55 lakh cash from car

https://t.co/tMZHLOLc5g"
2022-10-10 09:57:35+00:00,IndiaToday,An elderly woman’s leg was chopped off by robbers to steal silver anklets she was wearing. @poojashali tells you more. #ITNewsByte #SocialMediaSpecial #ITReel #Crime #Robbery #Jaipur https://t.co/TyLuJysEEY
2022-10-09 11:17:21+00:00,republic,"US Sikh family murder suspect terrorised, robbed another family 17 years ago https://t.co/lCKZdf1y9y"
2022-10-08 11:27:54+00:00,republic,US man charged with hate crime for attacking Indian women in robbery spree; 'Uptick of Hindu-phobia' https://t.co/oLRJmRxJIc
2022-10-08 08:52:30+00:00,republic,BJP blames RJD for robbery at JDU President's Petrol Pump in Bihar; 'CM Nitish helpless' https://t.co/pQpXtGdY4f
2022-10-06 23:00:01+00:00,TimesNow,"When #KanganaRanaut got robbed while travelling: The guy took all my money in a fraction of a second 

#EntertainmentNews

https://t.co/6a8c0XntH4"
2022-10-06 02:49:14+00:00,IndiaToday,"An 86-year-old woman was assaulted and stabbed to death by her ex-driver during a robbery in #Delhi's Rani Bagh area on Wednesday.
#Crime | @TanseemHaider 
https://t.co/3eJNF0QTct"
2022-10-04 17:56:27+00:00,republic,"Green Goblins? Women in Neon leotards toss &amp; punch teens in bizarre NYC subway robbery

https://t.co/OppzX9wOWp"
2022-09-28 10:19:55+00:00,republic,"After being robbed in England, Taniya Bhatia still to receive response from hotel on theft https://t.co/6Y3TcxjGJ0"
2022-09-27 03:46:15+00:00,IndiaToday,Indian woman cricketer @IamTaniyaBhatia robbed in England | #ITVideo https://t.co/mhFgMVmZ4P
2022-09-26 13:59:36+00:00,republic,"'England looting India isn't new,' say fans after Taniya Bhatia is robbed at Marriot Hotel in London https://t.co/1i9qV0lmkM"
2022-09-26 12:31:40+00:00,republic,Team India star Taniya Bhatia robbed in London; takes on hotel &amp; ECB over lack of security https://t.co/Q5DIrqx7Q5
2022-09-24 18:29:46+00:00,IndiaToday,"Not only did the dog prevent a robbery, but perhaps it also helped save the life of the lady who could have been attacked by three robbers. #Rajasthan | @AnkurWadhawan 

https://t.co/cRMx2enG0K"
2022-09-24 07:40:00+00:00,TimesNow,"#TamilNadu: Family robbed of gold, silver by gang of seven masked men
https://t.co/FvIyRjLFWB"
2022-09-22 11:33:48+00:00,IndiaToday,"#MadhyaPradesh Police arrested four men for being involved in a fake robbery. #India #News 
(@ReporterRavish ) 
https://t.co/pprKs3dxap"
2022-09-20 04:46:33+00:00,CNNnews18,"#BreakingNews | Daring robbery in Bengal's Cooch Behar, masked men brandish firearms at petrol pump, loot Rs. 30,000

@Sougata_Mukh shares more details

Join the broadcast with @poonam_burde

#WestBengal https://t.co/DvbPQMKvaA"
2022-09-19 08:46:26+00:00,TimesNow,"Robbery reported in #Muzaffarpur at the #Gobarsahi branch of #ICICI bank as law and order situation continues to degrade in the state of #Bihar-Rs. 13 lakhs were looted by three armed robbers.

@Swatij14 and @anchoramitaw share details. https://t.co/hN5Hx82rhH"
2022-09-17 09:50:00+00:00,TimesNow,"#Agra: Tourist who abandoned uncomfortable bus gets robbed of 8,000 euros, iPhone, other costly gadgets.
https://t.co/QO0yXq4Xmq"
2022-09-15 14:34:21+00:00,TimesNow,"#WaqfLandGrab

Hindus in 6 villages 'robbed': Waqf claims temple &amp; land

Waqf has unlimited powers

1991 law limits Hindu claims but in 1995 Waqf gets free run

Special status for one side?

Watch #IndiaUpfront with @RShivshankar here: https://t.co/01G4Ar9gvW https://t.co/hEPMeTsh0C"
2022-09-15 14:26:00+00:00,TimesNow,"#WaqfLandGrab

Hindus in 6 villages 'robbed': Waqf claims temple &amp; land

Waqf has unlimited powers

1991 law limits Hindu claims but in 1995 Waqf gets free run

Special status for one side?

Don't miss the debate on #IndiaUpfront with @RShivshankar tonight at 8. https://t.co/moWeFEhSEz"
2022-09-15 14:22:00+00:00,TimesNow,"#WaqfLandGrab

Hindus in 6 villages 'robbed': Waqf claims temple &amp; land

Waqf has unlimited powers

1991 law limits Hindu claims but in 1995 Waqf gets free run

Special status for one side?

Don't miss the debate on #IndiaUpfront with @RShivshankar tonight at 8. https://t.co/fQ6kK39d2k"
2022-09-15 14:12:00+00:00,TimesNow,"#WaqfLandGrab

Hindus in 6 villages 'robbed': Waqf claims temple &amp; land

Waqf has unlimited powers

1991 law limits Hindu claims but in 1995 Waqf gets free run

Special status for one side?

Don't miss the debate on #IndiaUpfront with @RShivshankar tonight at 8. https://t.co/W7fsaNz49o"
2022-09-15 14:02:00+00:00,TimesNow,"#WaqfLandGrab

Hindus in 6 villages 'robbed': Waqf claims temple &amp; land

Waqf has unlimited powers

1991 law limits Hindu claims but in 1995 Waqf gets free run

Special status for one side?

Don't miss the debate on #IndiaUpfront with @RShivshankar tonight at 8. https://t.co/0W1XvliGy1"
2022-09-15 13:52:00+00:00,TimesNow,"#WaqfLandGrab

Hindus in 6 villages 'robbed': Waqf claims temple &amp; land

Waqf has unlimited powers

1991 law limits Hindu claims but in 1995 Waqf gets free run

Special status for one side?

Don't miss the debate on #IndiaUpfront with @RShivshankar tonight at 8. https://t.co/U0mpvZr45C"
2022-09-15 13:42:00+00:00,TimesNow,"#WaqfLandGrab

Hindus in 6 villages 'robbed': Waqf claims temple &amp; land

Waqf has unlimited powers

1991 law limits Hindu claims but in 1995 Waqf gets free run

Special status for one side?

Don't miss the debate on #IndiaUpfront with @RShivshankar tonight at 8. https://t.co/85uB2hMfS5"
2022-09-15 13:32:30+00:00,TimesNow,"#WaqfLandGrab

Hindus in 6 villages 'robbed': Waqf claims temple &amp; land

Waqf has unlimited powers

1991 law limits Hindu claims but in 1995 Waqf gets free run

Special status for one side?

Don't miss the debate on #IndiaUpfront with @RShivshankar tonight at 8. https://t.co/00F3HObIBG"
2022-09-15 13:22:00+00:00,TimesNow,"#WaqfLandGrab

Hindus in 6 villages 'robbed': Waqf claims temple &amp; land

Waqf has unlimited powers

1991 law limits Hindu claims but in 1995 Waqf gets free run

Special status for one side?

Don't miss the debate on #IndiaUpfront with @RShivshankar tonight at 8. https://t.co/0JvNQmlToT"
2022-09-15 13:02:00+00:00,TimesNow,"#WaqfLandGrab

Hindus in 6 villages 'robbed': Waqf claims temple &amp; land

Waqf has unlimited powers

1991 law limits Hindu claims but in 1995 Waqf gets free run

Special status for one side?

Don't miss the debate on #IndiaUpfront with @RShivshankar tonight at 8. https://t.co/uJorAweVKY"
2022-09-15 13:01:12+00:00,TimesNow,"#WaqfLandGrab

Hindus in six villages 'robbed', their land &amp; ancient temple 'grabbed' by WAQF.

Why does the WAQF Act needs to be amended? Hear @RShivshankar's analysis. https://t.co/dq4xjbHmX7"
2022-09-15 12:13:38+00:00,TimesNow,"The greatest Indian 'robbery'

TIMES NOW exposes the 'fraud'... Dismantle this 'special status'

S.I.T Mega investigation on #ExplosiveExclusive with ＠Swatij14 at 6 PM. https://t.co/m3GtBrsfE5"
