,username,description,location,text,hashtags
0,pappu_anuragi,"Ambedkarite l Research Scholar@Dept of Mathematics, DU",New Delhi,"@realabhaypannu @SonyLIV @monishaadvani @madhubhojwani @nikkhiladvani Witness the incredible crime on the history and intellectual dishonesty in the name of creative freedom! 

https://t.co/VZ08TWm5Ct",[]
1,GameL86459963,UPSC aspirant,"New Delhi, India","@Priyankajit51 @priyankagandhi Any kind of crime is under judiciary and police, judiciary is independ ent. First read the constitution then raise unreasonable things.",[]
2,SDinesh1508,"Stay safe bitches, let's squabble.",India,But marital rape is not yet a crime in #india. Talk about double standards. What is you doing legal system? https://t.co/nQsvE1Kr8x,['india']
3,Lucky983782141,"I am a Rohingya Refugee ,Studying at an International university in Bangladesh and  working on human rights with Government and UN as a Advocator.","Chittagong, Bangladesh","Dear world Advocators, Please stop using future sentence: ( we are almost tired of hearing the word "" I will try "" we don't want to see our children like this.  We are tired of seeking help so please give us a chance to advocate by ourselves. ( education is not a crime ) https://t.co/1IcsTHm1RP",[]
4,kthprettys,taehyung's #1 fan,asian,@queen59675901 @stantalentjk @virgoscult @mostpopularidoI stigma ended begin and sweet night unpromoted song outstreamed my crime yall only have euphoria which is literally a pop song,[]
5,ajayrotti,"Indian. #Taxation 
#Bengaluru 
#Cars #F1 #Tifosi #Jeep 
#007 #CalvinandHobbes

Partner - @DhruvaAdvisors - Views personal",Bangalore,"@Me_Predictor @akshayalladi I have watched Main Prem Ki Diwani Hoon, https://t.co/IcqY3Lo2xG, Mela. Each and every one of them with no exception ... @madhuraja was the Partner in crime! 😂😂

Mela was a life changing movie for @Sesh1710 😂",[]
6,DBhaduri94,REALIST,Kolkata,"If Russia invades Ukraine, it would constitute an international war crime for which @KremlinRussia_E could be charged at International Criminal Court in the Hague under Article 43 of the @UN Charter.",[]
7,AP10LM,"#LM10FOREVER

 VISCA EL BARÇA  

 FILM 🎥 ENTHUSIAST",India,@Jatinculer02 Not mentioning Nico is a crime. You have blood on your hands.,[]
8,happyfuuiii,"I love art and nature photography, but now it is part of my life already.",BKK,"เธรดรวมซีรีย์ที่ดูในปี 2022
1.Innocence
2.Pipeline
3.The gangster the cop the devil
4.Collectors
5.Onethewomen
6.The good detective 
7.Oneordinaryday
8.Through The Darkness
9.Crime puzzle
10.Extreme job
11.TheSilentSea
12.Lawschool
13.Mine
14.Memorist",[]
9,rnrajesh23,"Engineer as profession🔩Kamalhassan forever 💯அரசியல் பழகு✍ உறவே,உயிரே, தமிழே💖Love sports 🏓 Nature 🌲 you will never loose unless you quit🤝","Chennai, India","#Vilangu webseries in tamil

Crime investigation 🧐 Episode 1,2 3 goes with a slow pace but engaging.. 4,5,6,7 

Very good Comeback from #Vemal

Background music good. 

Dialogue : Sir Kiccha koopidraaru sir 😇😇

#ZEE5Tamil @p_santh #VilanguOnZEE5

@ZEE5Tamil @ajesh_ashok https://t.co/88BjXVn7cz","['Vilangu', 'Vemal', 'ZEE5Tamil', 'VilanguOnZEE5']"
10,Madhavc75043035,Cow,India,@IAF_MCC @adgpi @rajnathsingh @SpokespersonMoD @indiannavy @TheRSAF @PIB_India @MIB_India @SGAirshow @AmritMahotsav @HQ_IDS_India Shri man gupt bjp sath modi help me with any questions please feel students Dada Giri crime or sabse pahle truk driving direction please find gaon to sahar khichna nadan bahno ko jabar roads pr la khada karna bb ko nase m marna dabochna jhooth bolna nase m bhool jana g please 🙏 https://t.co/WCJZCmtxep,[]
11,CosmoParanormal,"Founder & Chairman of Cosmo Paranormal & Ghost Hunting Society of INDIA-USA-UK. ITC Spirit Box Sessions
International Paranormal Society-Community-Industry.",India,@Ranjeet31220 I made many tweets thanks for asking but in my last tweet I said that it is going to take lot of time as high government officials are involved and committed crime.,[]
12,thenews_intl,"Where the conversations start. Follow us for special features, breaking news & in-depth analysis; more at https://t.co/fHknDtxtph | Instagram: thenewspak","Karachi, Pakistan","“Street crime has increased in city due to economic downturn,"" says CM Murad 

Read more: https://t.co/1k00Hmwo1o

#TheNews https://t.co/ABjjYAA1XZ",['TheNews']
13,Ananyatiwari_1,"I Am Ananya,,

                     Welcome To My Profile..

,Please Follow Me Friend

◆ Follow Back 100%


                              ★...It's Ananya Tiwari",Satna MP,"#GodMorningSaturday
Crime, obscenity and corruption, the film world is responsible for all this.
 Now there will be social reform, when the whole world listens to the thoughts of Sant Rampal Ji Maharaj.

 Visit us satlok ashram YouTube channel",['GodMorningSaturday']
14,4Goldstein2,mesut özil fan account,Dubai,@FUTBIN 3 WF IS A MILITARY CRIME,[]
15,Shivangi712,"she/her
Indian🇮🇳
💜BTS⟭⟬💜
💜🅐🅡🅜🅨⁷⟬⟭💜
We are together bulletproof @BTS_twt",India,@userbfIy I'm sorry If this question is dumb or smth.... But i was just curious if a non-black person gets their hair like yk in braids and locks... Is it some kind of uh.... Crime? Or smth illegal?... I was just curious,[]
16,ParvezAliShaik9,"Being optimistic...I am against hatred mongers, fanatics & extremist of any religion whoever tries to disintegrate Secular fabric of India.. RT NOT ENDORSEMENT",Abu dhabi,@manzurali @yahya_711_ @ravishndtv @SreenivasanJain @sakshijoshii @dhanyarajendran @iyersaishwarya @fayedsouza @sharmasupriya @meenakandasamy @zoo_bear @ashoswai @Samriddhi0809 @saahilmenghani @paranjoygt @pbhushan1 @_sabanaqvi @suchitrav @Sonal_MK @khanumarfa @VermaDaksha2000 Shame on @aligarhpolice @Uppolice @Dm_Aligarh @myogiadityanath they r promoting Anti Muslim Hatred  among Hindus which will lead to Civil War. Police is also partner in crime. @nytimes @AJEnglish @HHShkMohd @LadyVelvet_HFQ @POTUS @jacindaardern @JustinTrudeau @VP @MaryLawlorhrds,[]
17,Ananyatiwari_1,"I Am Ananya,,

                     Welcome To My Profile..

,Please Follow Me Friend

◆ Follow Back 100%


                              ★...It's Ananya Tiwari",Satna MP,"#GodMorningSaturday
In today's time, bad deeds like intoxication, obscenity, crime etc. have made a place in society.  Sant Rampal Ji Maharaj has taken the initiative to create a healthy society.",['GodMorningSaturday']
18,armanmughal1122,"Arman here, 26 year guy. Basically I'm from Multan but I can come anywhere in Pak. 
Looking some good relationship with respect and trust.","Multan, Pakistan","@Duadani4 Yeah it's true, sexy isn't just about hot figure. It's a way about how to talk with your crime partner 😂😂",[]
19,DelhiPolice,Official Twitter account of Delhi Police | Pls do not report crime here | In case of emergency #Dial112 | Help us to serve you better |,"New Delhi, India",@Vishal61834058 You may lodge your  grievances on the cyber crime reporting portal https://t.co/31HYfBIbQW.,[]
20,rolotomasi777,In front of every good Man is a better Woman ..... 😎,So Cal,Intentionally aiming a gun at a peaceful protester on the ground is a War Crime!!! @bynsny @OttawaPolice https://t.co/0eTHReIXmP https://t.co/qvHVQQpdcN,[]
21,TheDailyBunkum,"academic, husband, father, insight-hunter",Kozhikode,"@hinglish_monk @ARanganathan72 Notice the multi-layered play with ‘emotion’: A. ‘toolkit’ was tom-tommed as though it was some prosecutable crime, B. based on A. the claim was made that Assam Tea - of all things - had been defamed.",[]
22,mr_zaair_sohail,“There are two ways of spreading light: to be the candle or the mirror that reflects it.,"Karachi, Pakistan",@TOKCityOfLights Aur agr khatm nhi krogy Street Crime hum sb log yeh mulk chordaingy samjhay,[]
23,Rajj8990,"You deserve the best 💙 Never settle down for less 🦋

𝙏𝙝𝙖𝙡𝙖𝙥𝙖𝙩𝙝𝙮 𝙑𝙄𝙅𝘼𝙔 ♥️","Chennai, India",#Vilangu - Brilliant crime thriller 👌🏼  One of the best Tamil web series ! Will be a great watch for this weekend ! Don't miss 🔥 @ActorVemal deserves this victory 👏🏻  @ZEE5Tamil https://t.co/GIAVV2JGRU,['Vilangu']
