,username,description,location,text,hashtags
0,IndiaToday,"Brings you news breaks: Exclusive political, entertainment, sports insight, unbiased-nonaligned. We are also on Instagram : https://t.co/4QkZBcxSJ5",India,"TMC to hold next working committee meet in New Delhi after Assembly polls

#TMC #MamataBanerjee | @RittickMondal 

https://t.co/373wVcQdFi","['TMC', 'MamataBanerjee']"
1,IndiaToday,"Brings you news breaks: Exclusive political, entertainment, sports insight, unbiased-nonaligned. We are also on Instagram : https://t.co/4QkZBcxSJ5",India,"After the US said that the #Russian invasion of #Ukraine is imminent in the next few days, many young Ukrainians have come forward to take military training.
#UkraineCrisis #ITVideo | @gauravcsawant https://t.co/Hbjll8P3IQ","['Russian', 'Ukraine', 'UkraineCrisis', 'ITVideo']"
2,IndiaToday,"Brings you news breaks: Exclusive political, entertainment, sports insight, unbiased-nonaligned. We are also on Instagram : https://t.co/4QkZBcxSJ5",India,"Rajasthan CM Ashok Gehlot hit out at the BJP and the RSS, saying that the they did not play any role in the freedom struggle while the Congress made many sacrifices.

#Rajasthan #Congress #AshokGehlot #BJP #RSS

https://t.co/ORdNisQzZy","['Rajasthan', 'Congress', 'AshokGehlot', 'BJP', 'RSS']"
3,IndiaToday,"Brings you news breaks: Exclusive political, entertainment, sports insight, unbiased-nonaligned. We are also on Instagram : https://t.co/4QkZBcxSJ5",India,"After facing a sharp spike in violence in and around territory held by Russia-backed rebels, Ukrainian President Volodymyr Zelenskyy called for a meeting with Russian President Vladimir Putin to seek resolution to the crisis.

#RussiaUkraineCrisis 
https://t.co/xNloAEW5ih",['RussiaUkraineCrisis']
4,IndiaToday,"Brings you news breaks: Exclusive political, entertainment, sports insight, unbiased-nonaligned. We are also on Instagram : https://t.co/4QkZBcxSJ5",India,"DGP #Manipur talks exclusively to India Today’s Aneesha Mathur on 
Pre-poll violence that took place due to turf war between political parties, arms and ammunition coming from across the border.
Full Video- https://t.co/H7P4VLcpVK  #ReporterDiary | (@aneeshamathur) https://t.co/7iXe9u8ioV","['Manipur', 'ReporterDiary']"
5,IndiaToday,"Brings you news breaks: Exclusive political, entertainment, sports insight, unbiased-nonaligned. We are also on Instagram : https://t.co/4QkZBcxSJ5",India,"#AzadSamajParty chief #ChandrashekharAzad began a door-to-door campaign from Purana #Gorakhpur. He is contesting against UP CM #YogiAdityanath from Gorakhpur Urban seat which is slated for polling in the sixth phase on March 3.

#UttarPradeshElections 

https://t.co/IKigM9YY9D","['AzadSamajParty', 'ChandrashekharAzad', 'Gorakhpur', 'YogiAdityanath', 'UttarPradeshElections']"
6,IndiaToday,"Brings you news breaks: Exclusive political, entertainment, sports insight, unbiased-nonaligned. We are also on Instagram : https://t.co/4QkZBcxSJ5",India,"At MSC, Jaishankar participated in a panel discussion on the Indo-Pacific and will also lead discussions at an 'Azadi Ka Amrit Mahotsav' event.

#India #China #News |  @Geeta_Mohan 

https://t.co/qYuPl9OBiX","['India', 'China', 'News']"
7,IndiaToday,"Brings you news breaks: Exclusive political, entertainment, sports insight, unbiased-nonaligned. We are also on Instagram : https://t.co/4QkZBcxSJ5",India,"Comedian #KapilSharma and former cricketer #HarbhajanSingh have released videos in support of Sonu Sood's sister #MalvikaSood Sachar, who is contesting the Punjab Assembly election.

#PunjabElections | @satenderchauhan 
https://t.co/PzNuwdNjPP","['KapilSharma', 'HarbhajanSingh', 'MalvikaSood', 'PunjabElections']"
8,IndiaToday,"Brings you news breaks: Exclusive political, entertainment, sports insight, unbiased-nonaligned. We are also on Instagram : https://t.co/4QkZBcxSJ5",India,"Coaching classes by veterans at Rs 15 per hour! Almost #FreeCoaching 
https://t.co/etNYQL5EDr",['FreeCoaching']
9,IndiaToday,"Brings you news breaks: Exclusive political, entertainment, sports insight, unbiased-nonaligned. We are also on Instagram : https://t.co/4QkZBcxSJ5",India,"#PriyankaGandhi arrived in #Raebareli on Saturday on a two-day visit to campaign for Congress candidates. Raebareli is the parliamentary constituency of Congress president Sonia Gandhi.

#UttarPradeshElections2022 
https://t.co/kqcU4Cir3Q","['PriyankaGandhi', 'Raebareli', 'UttarPradeshElections2022']"
10,IndiaToday,"Brings you news breaks: Exclusive political, entertainment, sports insight, unbiased-nonaligned. We are also on Instagram : https://t.co/4QkZBcxSJ5",India,"""Priyanka Gandhi Vadra who is now talking about helping Rae Bareli never visited the district in times of distress,"" said BJP's Aditi Singh.

#PriyankaGandhi  #UttarPradeshElections  @AbshkMishra 
https://t.co/XTqGDeBBXh","['PriyankaGandhi', 'UttarPradeshElections']"
11,IndiaToday,"Brings you news breaks: Exclusive political, entertainment, sports insight, unbiased-nonaligned. We are also on Instagram : https://t.co/4QkZBcxSJ5",India,"Ukraine and the two regions held by the Russia-backed rebels each accused the other of escalation. 

#Ukraine #Russia #World #News
https://t.co/xEFfCyhQVH","['Ukraine', 'Russia', 'World', 'News']"
12,IndiaToday,"Brings you news breaks: Exclusive political, entertainment, sports insight, unbiased-nonaligned. We are also on Instagram : https://t.co/4QkZBcxSJ5",India,India Today’s Aneesha Mathur reports from Andro village. This is the place where pre poll clash between NPP and BJP resulted in several cars damaged. Watch the ground report. #ReporterDiary #ManipurElections2022 | (@aneeshamathur) https://t.co/qylTeVKzaU,"['ReporterDiary', 'ManipurElections2022']"
13,IndiaToday,"Brings you news breaks: Exclusive political, entertainment, sports insight, unbiased-nonaligned. We are also on Instagram : https://t.co/4QkZBcxSJ5",India,"Hong Kong, a Special Administrative Region of China, reported 6,063 infections in addition to 7,400 preliminary-positive cases on Saturday

#HongKong #China #World #news 

https://t.co/Hx9tBRqLjU","['HongKong', 'China', 'World', 'news']"
14,IndiaToday,"Brings you news breaks: Exclusive political, entertainment, sports insight, unbiased-nonaligned. We are also on Instagram : https://t.co/4QkZBcxSJ5",India,"Good news for students duped by the 3 #Canadian colleges that have disappeared.
#education 
https://t.co/7bPuXnBjWk","['Canadian', 'education']"
15,IndiaToday,"Brings you news breaks: Exclusive political, entertainment, sports insight, unbiased-nonaligned. We are also on Instagram : https://t.co/4QkZBcxSJ5",India,"The FIR in the case mentions that the attackers had injured him purposefully. 

#Thiruvananthapuram #Kerala | @OommenRickson 

https://t.co/RskNd8fgeK","['Thiruvananthapuram', 'Kerala']"
16,IndiaToday,"Brings you news breaks: Exclusive political, entertainment, sports insight, unbiased-nonaligned. We are also on Instagram : https://t.co/4QkZBcxSJ5",India,"Find out all about this Indian Army's initiative here.
#Education #IndianArmy 
https://t.co/Pb2vcok7CG","['Education', 'IndianArmy']"
17,IndiaToday,"Brings you news breaks: Exclusive political, entertainment, sports insight, unbiased-nonaligned. We are also on Instagram : https://t.co/4QkZBcxSJ5",India,"Top news at 10 PM
#ITLivestream #Elections2022
 https://t.co/DYREX6bcbV","['ITLivestream', 'Elections2022']"
18,IndiaToday,"Brings you news breaks: Exclusive political, entertainment, sports insight, unbiased-nonaligned. We are also on Instagram : https://t.co/4QkZBcxSJ5",India,"Travellers from the United Arab Emirates are now exempted from pre-departure RT-PCR test if they have received both doses of Covid-19 vaccines in India, Air India Express said.

#UAE #RTPCR #Coronavirus #India | @PoulomiMSaha 

https://t.co/E6fWorUWdm","['UAE', 'RTPCR', 'Coronavirus', 'India']"
19,IndiaToday,"Brings you news breaks: Exclusive political, entertainment, sports insight, unbiased-nonaligned. We are also on Instagram : https://t.co/4QkZBcxSJ5",India,"In conversation with Sanjiv Goenka.
Watch #BusinessToday with #UdayanMukherjee
#ITLivestream 
 https://t.co/xU6q6lXRm8","['BusinessToday', 'UdayanMukherjee', 'ITLivestream']"
20,IndiaToday,"Brings you news breaks: Exclusive political, entertainment, sports insight, unbiased-nonaligned. We are also on Instagram : https://t.co/4QkZBcxSJ5",India,"Assam man fulfils dream of buying scooter with hard-earned money. But there’s a twist
#Trending #Assam 
https://t.co/1bSiV1cOWj","['Trending', 'Assam']"
21,IndiaToday,"Brings you news breaks: Exclusive political, entertainment, sports insight, unbiased-nonaligned. We are also on Instagram : https://t.co/4QkZBcxSJ5",India,"Polling will be held on 117 Assembly seats in Punjab from 8 am to 6 pm and 59 seats in Uttar Pradesh from 7 am to 6 pm.

#Voting #PunjabElections #UttarPradeshElections 

https://t.co/64RigMhwtk","['Voting', 'PunjabElections', 'UttarPradeshElections']"
